Modal Results

k0 	4.053667940115862e+06
R 	2.684000000000000e-01
S 	1.536800000000000e+00
Number of roots 	119

Root	Re(z)	Im(z)	Re(Neff)	Im(Neff)	Absorp(1/cm)	Bound
48	+3.822228018405843e+00	-1.576948151239110e+00	+2.812765482363678e-01	+4.568824952472130e+01	+3.704099846767530e+06	+0
49	+3.894360123139299e+00	-1.576910334739213e+00	+3.004420561017632e-01	+4.910804769076943e+01	+3.981354370515057e+06	+0
50	+3.961411144566870e+00	-1.580135986215550e+00	+4.907549442655359e-01	+5.251448336270951e+01	+4.257525551983268e+06	+0
51	+3.994699574153890e+00	-1.604407645058761e+00	+1.825546577220249e+00	+5.426470562948671e+01	+4.399421949801501e+06	+0
52	+4.033708739065410e+00	-1.578472318919110e+00	+4.335631596612352e-01	+5.645468379744620e+01	+4.576970835581722e+06	+0
53	+4.200010094210748e+00	-1.576349340726383e+00	+3.703759589100255e-01	+6.667445283252874e+01	+5.405521837439780e+06	+0
54	+4.256651013140970e+00	-1.579927344292898e+00	+6.444959573074129e-01	+7.055940811787092e+01	+5.720488211219286e+06	+0
55	+4.243522364892933e+00	-1.595514957040151e+00	+1.721818282138942e+00	+6.962045522960217e+01	+5.644364146810201e+06	+0
56	+3.659244578668197e+00	+1.611774487339193e+00	+1.591629695706532e+00	-3.877962271046051e+01	-3.143994266223655e+06	+0
57	+3.651935745824649e+00	+1.591206891430571e+00	+7.871637148693280e-01	-3.852125267439466e+01	-3.123047339585921e+06	+0
58	+3.961411144566870e+00	+1.580135986215550e+00	+4.907549442655359e-01	-5.251448336270951e+01	-4.257525551983268e+06	+0
59	+3.994699574153890e+00	+1.604407645058761e+00	+1.825546577220250e+00	-5.426470562948673e+01	-4.399421949801502e+06	+0
60	+4.092145417130148e+00	+1.575674752631609e+00	+2.921240283957389e-01	-5.985464795729404e+01	-4.852617349828085e+06	+0
61	+4.147648282338837e+00	+1.575274509978283e+00	+2.834552480286696e-01	-6.327221935419652e+01	-5.129691341921696e+06	+0
62	+4.304399194173025e+00	+1.575108964565022e+00	+3.192856212626979e-01	-7.401365835844810e+01	-6.000535880366590e+06	+0
63	+4.349429146518639e+00	+1.574394408318337e+00	+2.786498417955772e-01	-7.742382170598418e+01	-6.277009277015894e+06	+0
64	+4.392529086534324e+00	+1.574700446773772e+00	+3.156634217004758e-01	-8.083450250286273e+01	-6.553524625021402e+06	+0
65	+4.434195167195516e+00	+1.578081928579026e+00	+6.141225733741844e-01	-8.427290899129613e+01	-6.832287787966379e+06	+0
66	+4.447039765025194e+00	+1.591259761839118e+00	+1.747104354363763e+00	-8.534696936833227e+01	-6.919365470289181e+06	+0
67	+4.479387698966876e+00	+1.575078351571517e+00	+3.776279480163294e-01	-8.817114037701036e+01	-7.148330499794843e+06	+0
68	+4.517203211494273e+00	+1.573897726534869e+00	+2.840490046140236e-01	-9.157028077740912e+01	-7.423910229095824e+06	+0
69	+4.553810171468880e+00	+1.573847744978496e+00	+2.898896226419815e-01	-9.498513032356018e+01	-7.700763551606859e+06	+0
70	+4.628117909351925e+00	+1.575768904162266e+00	+5.088358535534662e-01	-1.023125299521046e+02	-8.294820450779807e+06	+0
71	+4.660834739974876e+00	+1.573653592938939e+00	+3.021028135397651e-01	-1.057165979159048e+02	-8.570799674196454e+06	+0
72	+4.692596819920913e+00	+1.573356972490036e+00	+2.794769149810221e-01	-1.091288205389188e+02	-8.847440023225453e+06	+0
73	+4.723312259435671e+00	+1.573803635877959e+00	+3.384637888180509e-01	-1.125330621800089e+02	-9.123433327243336e+06	+0
74	+4.814424338377494e+00	+1.573065353295555e+00	+2.797300218673349e-01	-1.232692760774405e+02	-9.993854248728238e+06	+0
75	+4.841725917595335e+00	+1.573167386320761e+00	+3.003984532870841e-01	-1.266813943529326e+02	-1.027048613795315e+07	+0
76	+4.947548192306632e+00	+1.572806828053332e+00	+2.831481720797360e-01	-1.408235130806407e+02	-1.141703520378960e+07	+0
77	+4.092145417130148e+00	-1.575674752631609e+00	+2.921240283957389e-01	+5.985464795729404e+01	+4.852617349828085e+06	+0
78	+4.147648282338837e+00	-1.575274509978283e+00	+2.834552480286696e-01	+6.327221935419652e+01	+5.129691341921696e+06	+0
79	+4.304399194173025e+00	-1.575108964565022e+00	+3.192856212626979e-01	+7.401365835844810e+01	+6.000535880366590e+06	+0
80	+4.349429146518639e+00	-1.574394408318337e+00	+2.786498417955772e-01	+7.742382170598418e+01	+6.277009277015894e+06	+0
81	+4.392529086534324e+00	-1.574700446773772e+00	+3.156634217004758e-01	+8.083450250286273e+01	+6.553524625021402e+06	+0
82	+4.434195167195516e+00	-1.578081928579026e+00	+6.141225733741844e-01	+8.427290899129613e+01	+6.832287787966379e+06	+0
83	+4.447039765025194e+00	-1.591259761839118e+00	+1.747104354363763e+00	+8.534696936833227e+01	+6.919365470289181e+06	+0
84	+4.479387698966876e+00	-1.575078351571517e+00	+3.776279480163294e-01	+8.817114037701036e+01	+7.148330499794843e+06	+0
85	+4.517203211494273e+00	-1.573897726534869e+00	+2.840490046140236e-01	+9.157028077740912e+01	+7.423910229095824e+06	+0
86	+4.553810171468880e+00	-1.573847744978496e+00	+2.898896226419815e-01	+9.498513032356018e+01	+7.700763551606859e+06	+0
87	+4.628117909351925e+00	-1.575768904162266e+00	+5.088358535534662e-01	+1.023125299521046e+02	+8.294820450779807e+06	+0
88	+4.660834739974876e+00	-1.573653592938939e+00	+3.021028135397651e-01	+1.057165979159048e+02	+8.570799674196454e+06	+0
89	+4.692596819920913e+00	-1.573356972490036e+00	+2.794769149810221e-01	+1.091288205389188e+02	+8.847440023225453e+06	+0
90	+4.723312259435671e+00	-1.573803635877959e+00	+3.384637888180509e-01	+1.125330621800089e+02	+9.123433327243336e+06	+0
91	+4.814424338377494e+00	-1.573065353295555e+00	+2.797300218673349e-01	+1.232692760774405e+02	+9.993854248728238e+06	+0
92	+4.841725917595335e+00	-1.573167386320761e+00	+3.003984532870841e-01	+1.266813943529326e+02	+1.027048613795315e+07	+0
93	+4.947548192306632e+00	-1.572806828053332e+00	+2.831481720797360e-01	+1.408235130806407e+02	+1.141703520378960e+07	+0
94	+4.243522364892933e+00	+1.595514957040151e+00	+1.721818282138942e+00	-6.962045522960217e+01	-5.644364146810201e+06	+0
95	+4.256651013140970e+00	+1.579927344292898e+00	+6.444959573074129e-01	-7.055940811787092e+01	-5.720488211219286e+06	+0
96	+4.588941089804107e+00	+1.575067063514668e+00	+4.202306706525121e-01	-9.838148140645838e+01	-7.976117141569303e+06	+0
97	+4.612268474564687e+00	+1.588844965928683e+00	+1.817759960261522e+00	-1.006883222042407e+02	-8.163140473267732e+06	+0
98	+4.755159661520337e+00	+1.577630622584198e+00	+7.940625527929762e-01	-1.161728744647914e+02	-9.418525134580592e+06	+0
99	+4.755986127327336e+00	+1.584398209621092e+00	+1.581644412951019e+00	-1.162608977524443e+02	-9.425661478163438e+06	+0
100	+4.786431617365246e+00	+1.573647817440435e+00	+3.418341336101872e-01	-1.198659547657411e+02	-9.717935558905253e+06	+0
101	+4.868223528498524e+00	+1.574613617895862e+00	+4.966112573128662e-01	-1.300827564311985e+02	-1.054624598614100e+07	+0
102	+4.881293532074650e+00	+1.584625616336698e+00	+1.822737307863420e+00	-1.317826097635528e+02	-1.068405880526627e+07	+0
103	+4.897997236694864e+00	+1.573987632068131e+00	+4.277198094885353e-01	-1.340146822167230e+02	-1.086502041613491e+07	+0
104	+4.923012196943313e+00	+1.572912438567575e+00	+2.907990502318425e-01	-1.374100146588459e+02	-1.114029142146829e+07	+0
105	+4.971392883060815e+00	+1.573375134336505e+00	+3.719486526218608e-01	-1.442218324303291e+02	-1.169254836775175e+07	+0
106	+4.991420367892572e+00	+1.582550659710800e+00	+1.729616111356322e+00	-1.471298887934207e+02	-1.192831426469403e+07	+0
107	+4.997981025435374e+00	+1.575080279549865e+00	+6.345328878130803e-01	-1.481072719477695e+02	-1.200755399985389e+07	+0
108	+4.588941089804107e+00	-1.575067063514668e+00	+4.202306706525121e-01	+9.838148140645838e+01	+7.976117141569303e+06	+0
109	+4.612268474564687e+00	-1.588844965928683e+00	+1.817759960261522e+00	+1.006883222042407e+02	+8.163140473267732e+06	+0
110	+4.755986127327336e+00	-1.584398209621092e+00	+1.581644412951019e+00	+1.162608977524443e+02	+9.425661478163438e+06	+0
111	+4.755159661520337e+00	-1.577630622584198e+00	+7.940625527929762e-01	+1.161728744647914e+02	+9.418525134580592e+06	+0
112	+4.786431617365246e+00	-1.573647817440435e+00	+3.418341336101872e-01	+1.198659547657411e+02	+9.717935558905253e+06	+0
113	+4.868223528498524e+00	-1.574613617895862e+00	+4.966112573128662e-01	+1.300827564311985e+02	+1.054624598614100e+07	+0
114	+4.881293532074650e+00	-1.584625616336698e+00	+1.822737307863420e+00	+1.317826097635528e+02	+1.068405880526627e+07	+0
115	+4.897997236694864e+00	-1.573987632068131e+00	+4.277198094885353e-01	+1.340146822167230e+02	+1.086502041613491e+07	+0
116	+4.923012196943313e+00	-1.572912438567575e+00	+2.907990502318425e-01	+1.374100146588459e+02	+1.114029142146829e+07	+0
117	+4.971392883060815e+00	-1.573375134336505e+00	+3.719486526218608e-01	+1.442218324303291e+02	+1.169254836775175e+07	+0
118	+4.997981025435374e+00	-1.575080279549865e+00	+6.345328878130803e-01	+1.481072719477695e+02	+1.200755399985389e+07	+0
119	+4.991420367892572e+00	-1.582550659710800e+00	+1.729616111356322e+00	+1.471298887934207e+02	+1.192831426469403e+07	+0
