2.0000000000000000e+04	+5.9958703403623848e+12	+2.1095155402842557e+08	+4.2190310805685115e+08	+1.0000037904238319e+00	+1.0000037904238319e+00	+1.0000000000000000e+00
4.0000000000000000e+04	+1.1991687290882797e+13	+7.7090047852239847e+08	+1.5418009570447969e+09	+9.9998270951612622e-01	+9.9998270951612622e-01	+1.0000000000000000e+00
6.0000000000000000e+04	+1.7987339279093785e+13	+1.7096955463144557e+09	+3.4193910926289115e+09	+9.9995011990824689e-01	+9.9995011990824689e-01	+1.0000000000000000e+00
8.0000000000000000e+04	+2.3982771520921703e+13	+3.0535932806745381e+09	+6.1071865613490763e+09	+9.9990944028607542e-01	+9.9990944028607542e-01	+1.0000000000000000e+00
1.0000000000000000e+05	+2.9977933881844258e+13	+4.8072666427075262e+09	+9.6145332854150524e+09	+9.9985987396125153e-01	+9.9985987396125153e-01	+1.0000000000000000e+00
1.2000000000000000e+05	+3.5972769243462250e+13	+6.9668843442641754e+09	+1.3933768688528351e+10	+9.9980019598869707e-01	+9.9980019598869707e-01	+1.0000000000000000e+00
1.4000000000000000e+05	+4.1967214498890570e+13	+9.5278645343744545e+09	+1.9055729068748909e+10	+9.9972966848559508e-01	+9.9972966848559508e-01	+1.0000000000000000e+00
1.6000000000000000e+05	+4.7961203524665320e+13	+1.2487319471080452e+10	+2.4974638942160904e+10	+9.9964798790251042e-01	+9.9964798790251042e-01	+1.0000000000000000e+00
1.8000000000000000e+05	+5.3954669139958484e+13	+1.5844106706532507e+10	+3.1688213413065014e+10	+9.9955507394371423e-01	+9.9955507394371423e-01	+1.0000000000000000e+00
2.0000000000000000e+05	+5.9947543977120711e+13	+1.9598290463283840e+10	+3.9196580926567680e+10	+9.9945092835333238e-01	+9.9945092835333238e-01	+1.0000000000000000e+00
2.2000000000000000e+05	+6.5939760747632758e+13	+2.3750659840049271e+10	+4.7501319680098541e+10	+9.9933556931507728e-01	+9.9933556931507728e-01	+1.0000000000000000e+00
2.4000000000000000e+05	+7.1931252256526078e+13	+2.8302422264338234e+10	+5.6604844528676468e+10	+9.9920900795741341e-01	+9.9920900795741341e-01	+1.0000000000000000e+00
2.6000000000000000e+05	+7.7921951338634719e+13	+3.3255035819316429e+10	+6.6510071638632858e+10	+9.9907124293163807e-01	+9.9907124293163807e-01	+1.0000000000000000e+00
2.8000000000000000e+05	+8.3911790784737828e+13	+3.8610126249317902e+10	+7.7220252498635803e+10	+9.9892226122835870e-01	+9.9892226122835870e-01	+1.0000000000000000e+00
