lambda	Re(eps)	Im(eps)
4.2200000000000000e+02	+3.5085685508015247e+00	+1.1780361104049961e-02
4.2300000000000000e+02	+3.5062380777753215e+00	+1.1864274024807928e-02
4.2400000000000000e+02	+3.5039021015829763e+00	+1.1948584253052136e-02
4.2500000000000000e+02	+3.5015606223147833e+00	+1.2033292724417492e-02
4.2600000000000000e+02	+3.4992136400612495e+00	+1.2118400374513283e-02
4.2700000000000000e+02	+3.4968611549130930e+00	+1.2203908138923065e-02
4.2800000000000000e+02	+3.4945031669612447e+00	+1.2289816953204641e-02
4.2900000000000000e+02	+3.4921396762968473e+00	+1.2376127752889989e-02
4.3000000000000000e+02	+3.4897706830112551e+00	+1.2462841473485193e-02
4.3100000000000000e+02	+3.4873961871960342e+00	+1.2549959050470396e-02
4.3200000000000000e+02	+3.4850161889429634e+00	+1.2637481419299735e-02
4.3300000000000000e+02	+3.4826306883440328e+00	+1.2725409515401286e-02
4.3400000000000000e+02	+3.4802396854914437e+00	+1.2813744274176994e-02
4.3500000000000000e+02	+3.4778431804776111e+00	+1.2902486631002607e-02
4.3600000000000000e+02	+3.4754411733951605e+00	+1.2991637521227652e-02
4.3700000000000000e+02	+3.4730336643369299e+00	+1.3081197880175323e-02
4.3800000000000000e+02	+3.4706206533959687e+00	+1.3171168643142472e-02
4.3900000000000000e+02	+3.4682021406655381e+00	+1.3261550745399513e-02
4.4000000000000000e+02	+3.4657781262391119e+00	+1.3352345122190364e-02
4.4100000000000000e+02	+3.4633486102103754e+00	+1.3443552708732428e-02
4.4200000000000000e+02	+3.4609135926732248e+00	+1.3535174440216477e-02
4.4300000000000000e+02	+3.4584730737217702e+00	+1.3627211251806617e-02
4.4400000000000000e+02	+3.4560270534503310e+00	+1.3719664078640245e-02
4.4500000000000000e+02	+3.4535755319534402e+00	+1.3812533855827966e-02
4.4600000000000000e+02	+3.4511185093258421e+00	+1.3905821518453525e-02
4.4700000000000000e+02	+3.4486559856624925e+00	+1.3999528001573787e-02
4.4800000000000000e+02	+3.4461879610585595e+00	+1.4093654240218636e-02
4.4900000000000000e+02	+3.4437144356094223e+00	+1.4188201169390926e-02
4.5000000000000000e+02	+3.4412354094106723e+00	+1.4283169724066449e-02
4.5100000000000000e+02	+3.4387508825581130e+00	+1.4378560839193822e-02
4.5200000000000000e+02	+3.4362608551477587e+00	+1.4474375449694486e-02
4.5300000000000000e+02	+3.4337653272758359e+00	+1.4570614490462600e-02
4.5400000000000000e+02	+3.4312642990387836e+00	+1.4667278896364993e-02
4.5500000000000000e+02	+3.4287577705332506e+00	+1.4764369602241133e-02
4.5600000000000000e+02	+3.4262457418560994e+00	+1.4861887542903022e-02
4.5700000000000000e+02	+3.4237282131044031e+00	+1.4959833653135165e-02
4.5800000000000000e+02	+3.4212051843754474e+00	+1.5058208867694508e-02
4.5900000000000000e+02	+3.4186766557667281e+00	+1.5157014121310368e-02
4.6000000000000000e+02	+3.4161426273759536e+00	+1.5256250348684381e-02
4.6100000000000000e+02	+3.4136030993010444e+00	+1.5355918484490427e-02
4.6200000000000000e+02	+3.4110580716401322e+00	+1.5456019463374597e-02
4.6300000000000000e+02	+3.4085075444915605e+00	+1.5556554219955117e-02
4.6400000000000000e+02	+3.4059515179538833e+00	+1.5657523688822290e-02
4.6500000000000000e+02	+3.4033899921258679e+00	+1.5758928804538427e-02
4.6600000000000000e+02	+3.4008229671064925e+00	+1.5860770501637800e-02
4.6700000000000000e+02	+3.3982504429949465e+00	+1.5963049714626587e-02
4.6800000000000000e+02	+3.3956724198906318e+00	+1.6065767377982786e-02
4.6900000000000000e+02	+3.3930888978931613e+00	+1.6168924426156191e-02
4.7000000000000000e+02	+3.3904998771023585e+00	+1.6272521793568299e-02
4.7100000000000000e+02	+3.3879053576182607e+00	+1.6376560414612266e-02
4.7200000000000000e+02	+3.3853053395411146e+00	+1.6481041223652872e-02
4.7300000000000000e+02	+3.3826998229713801e+00	+1.6585965155026389e-02
4.7400000000000000e+02	+3.3800888080097273e+00	+1.6691333143040620e-02
4.7500000000000000e+02	+3.3774722947570384e+00	+1.6797146121974728e-02
4.7600000000000000e+02	+3.3748502833144078e+00	+1.6903405026079284e-02
4.7700000000000000e+02	+3.3722227737831401e+00	+1.7010110789576136e-02
4.7800000000000000e+02	+3.3695897662647520e+00	+1.7117264346658376e-02
4.7900000000000000e+02	+3.3669512608609722e+00	+1.7224866631490261e-02
4.8000000000000000e+02	+3.3643072576737394e+00	+1.7332918578207207e-02
4.8100000000000000e+02	+3.3616577568052062e+00	+1.7441421120915630e-02
4.8200000000000000e+02	+3.3590027583577338e+00	+1.7550375193693003e-02
4.8300000000000000e+02	+3.3563422624338966e+00	+1.7659781730587715e-02
4.8400000000000000e+02	+3.3536762691364803e+00	+1.7769641665619014e-02
4.8500000000000000e+02	+3.3510047785684822e+00	+1.7879955932776997e-02
4.8600000000000000e+02	+3.3483277908331095e+00	+1.7990725466022536e-02
4.8700000000000000e+02	+3.3456453060337821e+00	+1.8101951199287168e-02
4.8800000000000000e+02	+3.3429573242741322e+00	+1.8213634066473069e-02
4.8900000000000000e+02	+3.3402638456580007e+00	+1.8325775001453038e-02
4.9000000000000000e+02	+3.3375648702894427e+00	+1.8438374938070368e-02
4.9100000000000000e+02	+3.3348603982727227e+00	+1.8551434810138802e-02
4.9200000000000000e+02	+3.3321504297123177e+00	+1.8664955551442507e-02
4.9300000000000000e+02	+3.3294349647129149e+00	+1.8778938095735984e-02
4.9400000000000000e+02	+3.3267140033794140e+00	+1.8893383376744035e-02
4.9500000000000000e+02	+3.3239875458169257e+00	+1.9008292328161643e-02
4.9600000000000000e+02	+3.3212555921307718e+00	+1.9123665883653988e-02
4.9700000000000000e+02	+3.3185181424264849e+00	+1.9239504976856364e-02
4.9800000000000000e+02	+3.3157751968098101e+00	+1.9355810541374058e-02
4.9900000000000000e+02	+3.3130267553867028e+00	+1.9472583510782387e-02
5.0000000000000000e+02	+3.3102728182633299e+00	+1.9589824818626596e-02
5.0100000000000000e+02	+3.3075133855460703e+00	+1.9707535398421738e-02
5.0200000000000000e+02	+3.3047484573415131e+00	+1.9825716183652736e-02
5.0300000000000000e+02	+3.3019780337564586e+00	+1.9944368107774231e-02
5.0400000000000000e+02	+3.2992021148979189e+00	+2.0063492104210563e-02
5.0500000000000000e+02	+3.2964207008731181e+00	+2.0183089106355648e-02
5.0600000000000000e+02	+3.2936337917894902e+00	+2.0303160047573030e-02
5.0700000000000000e+02	+3.2908413877546803e+00	+2.0423705861195740e-02
5.0800000000000000e+02	+3.2880434888765455e+00	+2.0544727480526229e-02
5.0900000000000000e+02	+3.2852400952631537e+00	+2.0666225838836368e-02
5.1000000000000000e+02	+3.2824312070227846e+00	+2.0788201869367355e-02
5.1100000000000000e+02	+3.2796168242639276e+00	+2.0910656505329639e-02
5.1200000000000000e+02	+3.2767969470952849e+00	+2.1033590679902864e-02
5.1300000000000000e+02	+3.2739715756257688e+00	+2.1157005326235857e-02
5.1400000000000000e+02	+3.2711407099645027e+00	+2.1280901377446527e-02
5.1500000000000000e+02	+3.2683043502208218e+00	+2.1405279766621790e-02
5.1600000000000000e+02	+3.2654624965042727e+00	+2.1530141426817528e-02
5.1700000000000000e+02	+3.2626151489246107e+00	+2.1655487291058581e-02
5.1800000000000000e+02	+3.2597623075918052e+00	+2.1781318292338602e-02
5.1900000000000000e+02	+3.2569039726160356e+00	+2.1907635363620014e-02
5.2000000000000000e+02	+3.2540401441076909e+00	+2.2034439437834022e-02
5.2100000000000000e+02	+3.2511708221773734e+00	+2.2161731447880483e-02
5.2200000000000000e+02	+3.2482960069358953e+00	+2.2289512326627823e-02
5.2300000000000000e+02	+3.2454156984942801e+00	+2.2417783006913067e-02
5.2400000000000000e+02	+3.2425298969637621e+00	+2.2546544421541748e-02
5.2500000000000000e+02	+3.2396386024557859e+00	+2.2675797503287798e-02
5.2600000000000000e+02	+3.2367418150820084e+00	+2.2805543184893515e-02
5.2700000000000000e+02	+3.2338395349542979e+00	+2.2935782399069515e-02
5.2800000000000000e+02	+3.2309317621847313e+00	+2.3066516078494709e-02
5.2900000000000000e+02	+3.2280184968855989e+00	+2.3197745155816143e-02
5.3000000000000000e+02	+3.2250997391694005e+00	+2.3329470563649049e-02
5.3100000000000000e+02	+3.2221754891488477e+00	+2.3461693234576704e-02
5.3200000000000000e+02	+3.2192457469368625e+00	+2.3594414101150391e-02
5.3300000000000000e+02	+3.2163105126465785e+00	+2.3727634095889370e-02
5.3400000000000000e+02	+3.2133697863913384e+00	+2.3861354151280809e-02
5.3500000000000000e+02	+3.2104235682846980e+00	+2.3995575199779698e-02
5.3600000000000000e+02	+3.2074718584404227e+00	+2.4130298173808785e-02
5.3700000000000000e+02	+3.2045146569724903e+00	+2.4265524005758540e-02
5.3800000000000000e+02	+3.2015519639950862e+00	+2.4401253627987167e-02
5.3900000000000000e+02	+3.1985837796226111e+00	+2.4537487972820335e-02
5.4000000000000000e+02	+3.1956101039696727e+00	+2.4674227972551359e-02
5.4100000000000000e+02	+3.1926309371510913e+00	+2.4811474559440997e-02
5.4200000000000000e+02	+3.1896462792818978e+00	+2.4949228665717440e-02
5.4300000000000000e+02	+3.1866561304773349e+00	+2.5087491223576178e-02
5.4400000000000000e+02	+3.1836604908528541e+00	+2.5226263165180098e-02
5.4500000000000000e+02	+3.1806593605241185e+00	+2.5365545422659275e-02
5.4600000000000000e+02	+3.1776527396070025e+00	+2.5505338928110948e-02
5.4700000000000000e+02	+3.1746406282175919e+00	+2.5645644613599521e-02
5.4800000000000000e+02	+3.1716230264721808e+00	+2.5786463411156431e-02
5.4900000000000000e+02	+3.1685999344872759e+00	+2.5927796252780150e-02
5.5000000000000000e+02	+3.1655713523795952e+00	+2.6069644070436049e-02
5.5100000000000000e+02	+3.1625372802660658e+00	+2.6212007796056425e-02
5.5200000000000000e+02	+3.1594977182638253e+00	+2.6354888361540398e-02
5.5300000000000000e+02	+3.1564526664902250e+00	+2.6498286698753776e-02
5.5400000000000000e+02	+3.1534021250628235e+00	+2.6642203739529188e-02
5.5500000000000000e+02	+3.1503460940993913e+00	+2.6786640415665856e-02
5.5600000000000000e+02	+3.1472845737179100e+00	+2.6931597658929565e-02
5.5700000000000000e+02	+3.1442175640365715e+00	+2.7077076401052634e-02
5.5800000000000000e+02	+3.1411450651737782e+00	+2.7223077573733923e-02
5.5900000000000000e+02	+3.1380670772481434e+00	+2.7369602108638615e-02
5.6000000000000000e+02	+3.1349836003784910e+00	+2.7516650937398239e-02
5.6100000000000000e+02	+3.1318946346838548e+00	+2.7664224991610708e-02
5.6200000000000000e+02	+3.1288001802834806e+00	+2.7812325202840060e-02
5.6300000000000000e+02	+3.1257002372968232e+00	+2.7960952502616550e-02
5.6400000000000000e+02	+3.1225948058435500e+00	+2.8110107822436541e-02
5.6500000000000000e+02	+3.1194838860435361e+00	+2.8259792093762469e-02
5.6600000000000000e+02	+3.1163674780168700e+00	+2.8410006248022725e-02
5.6700000000000000e+02	+3.1132455818838496e+00	+2.8560751216611634e-02
5.6800000000000000e+02	+3.1101181977649826e+00	+2.8712027930889422e-02
5.6900000000000000e+02	+3.1069853257809874e+00	+2.8863837322182128e-02
5.7000000000000000e+02	+3.1038469660527950e+00	+2.9016180321781507e-02
5.7100000000000000e+02	+3.1007031187015439e+00	+2.9169057860945050e-02
5.7200000000000000e+02	+3.0975537838485847e+00	+2.9322470870895883e-02
5.7300000000000000e+02	+3.0943989616154788e+00	+2.9476420282822671e-02
5.7400000000000000e+02	+3.0912386521239972e+00	+2.9630907027879606e-02
5.7500000000000000e+02	+3.0880728554961210e+00	+2.9785932037186415e-02
5.7600000000000000e+02	+3.0849015718540431e+00	+2.9941496241828097e-02
5.7700000000000000e+02	+3.0817248013201657e+00	+3.0097600572855071e-02
5.7800000000000000e+02	+3.0785425440171021e+00	+3.0254245961283018e-02
5.7900000000000000e+02	+3.0753548000676760e+00	+3.0411433338092837e-02
5.8000000000000000e+02	+3.0721615695949200e+00	+3.0569163634230609e-02
5.8100000000000000e+02	+3.0689628527220796e+00	+3.0727437780607443e-02
5.8200000000000000e+02	+3.0657586495726084e+00	+3.0886256708099601e-02
5.8300000000000000e+02	+3.0625489602701714e+00	+3.1045621347548253e-02
5.8400000000000000e+02	+3.0593337849386444e+00	+3.1205532629759461e-02
5.8500000000000000e+02	+3.0561131237021124e+00	+3.1365991485504278e-02
5.8600000000000000e+02	+3.0528869766848712e+00	+3.1526998845518447e-02
5.8700000000000000e+02	+3.0496553440114278e+00	+3.1688555640502450e-02
5.8800000000000000e+02	+3.0464182258064980e+00	+3.1850662801121546e-02
5.8900000000000000e+02	+3.0431756221950081e+00	+3.2013321258005552e-02
5.9000000000000000e+02	+3.0399275333020959e+00	+3.2176531941748902e-02
5.9100000000000000e+02	+3.0366739592531085e+00	+3.2340295782910457e-02
5.9200000000000000e+02	+3.0334149001736037e+00	+3.2504613712013596e-02
5.9300000000000000e+02	+3.0301503561893481e+00	+3.2669486659546103e-02
5.9400000000000000e+02	+3.0268803274263205e+00	+3.2834915555960027e-02
5.9500000000000000e+02	+3.0236048140107092e+00	+3.3000901331671675e-02
5.9600000000000000e+02	+3.0203238160689123e+00	+3.3167444917061688e-02
5.9700000000000000e+02	+3.0170373337275382e+00	+3.3334547242474748e-02
5.9800000000000000e+02	+3.0137453671134060e+00	+3.3502209238219657e-02
5.9900000000000000e+02	+3.0104479163535447e+00	+3.3670431834569241e-02
6.0000000000000000e+02	+3.0071449815751925e+00	+3.3839215961760365e-02
6.0100000000000000e+02	+3.0038365629057995e+00	+3.4008562549993675e-02
6.0200000000000000e+02	+3.0005226604730244e+00	+3.4178472529433818e-02
6.0300000000000000e+02	+2.9972032744047370e+00	+3.4348946830209177e-02
6.0400000000000000e+02	+2.9938784048290161e+00	+3.4519986382411862e-02
6.0500000000000000e+02	+2.9905480518741525e+00	+3.4691592116097632e-02
6.0600000000000000e+02	+2.9872122156686443e+00	+3.4863764961285945e-02
6.0700000000000000e+02	+2.9838708963412022e+00	+3.5036505847959795e-02
6.0800000000000000e+02	+2.9805240940207463e+00	+3.5209815706065600e-02
6.0900000000000000e+02	+2.9771718088364056e+00	+3.5383695465513308e-02
6.1000000000000000e+02	+2.9738140409175200e+00	+3.5558146056176236e-02
6.1100000000000000e+02	+2.9704507903936399e+00	+3.5733168407890967e-02
6.1200000000000000e+02	+2.9670820573945242e+00	+3.5908763450457418e-02
6.1300000000000000e+02	+2.9637078420501441e+00	+3.6084932113638647e-02
6.1400000000000000e+02	+2.9603281444906777e+00	+3.6261675327160924e-02
6.1500000000000000e+02	+2.9569429648465166e+00	+3.6438994020713530e-02
6.1600000000000000e+02	+2.9535523032482591e+00	+3.6616889123948844e-02
6.1700000000000000e+02	+2.9501561598267152e+00	+3.6795361566482179e-02
6.1800000000000000e+02	+2.9467545347129045e+00	+3.6974412277891722e-02
6.1900000000000000e+02	+2.9433474280380567e+00	+3.7154042187718596e-02
6.2000000000000000e+02	+2.9399348399336112e+00	+3.7334252225466623e-02
6.2100000000000000e+02	+2.9365167705312167e+00	+3.7515043320602411e-02
6.2200000000000000e+02	+2.9330932199627329e+00	+3.7696416402555222e-02
6.2300000000000000e+02	+2.9296641883602286e+00	+3.7878372400716905e-02
6.2400000000000000e+02	+2.9262296758559820e+00	+3.8060912244441941e-02
6.2500000000000000e+02	+2.9227896825824837e+00	+3.8244036863047205e-02
6.2600000000000000e+02	+2.9193442086724297e+00	+3.8427747185812093e-02
6.2700000000000000e+02	+2.9158932542587301e+00	+3.8612044141978302e-02
6.2800000000000000e+02	+2.9124368194745021e+00	+3.8796928660749942e-02
6.2900000000000000e+02	+2.9089749044530739e+00	+3.8982401671293257e-02
6.3000000000000000e+02	+2.9055075093279834e+00	+3.9168464102736757e-02
6.3100000000000000e+02	+2.9020346342329768e+00	+3.9355116884171169e-02
6.3200000000000000e+02	+2.8985562793020132e+00	+3.9542360944649101e-02
6.3300000000000000e+02	+2.8950724446692582e+00	+3.9730197213185381e-02
6.3400000000000000e+02	+2.8915831304690887e+00	+3.9918626618756711e-02
6.3500000000000000e+02	+2.8880883368360903e+00	+4.0107650090301684e-02
6.3600000000000000e+02	+2.8845880639050607e+00	+4.0297268556720750e-02
6.3700000000000000e+02	+2.8810823118110043e+00	+4.0487482946876166e-02
6.3800000000000000e+02	+2.8775710806891364e+00	+4.0678294189591922e-02
6.3900000000000000e+02	+2.8740543706748829e+00	+4.0869703213653581e-02
6.4000000000000000e+02	+2.8705321819038776e+00	+4.1061710947808437e-02
6.4100000000000000e+02	+2.8670045145119651e+00	+4.1254318320765294e-02
6.4200000000000000e+02	+2.8634713686351994e+00	+4.1447526261194363e-02
6.4300000000000000e+02	+2.8599327444098437e+00	+4.1641335697727412e-02
6.4400000000000000e+02	+2.8563886419723716e+00	+4.1835747558957491e-02
6.4500000000000000e+02	+2.8528390614594650e+00	+4.2030762773439027e-02
6.4600000000000000e+02	+2.8492840030080169e+00	+4.2226382269687633e-02
6.4700000000000000e+02	+2.8457234667551288e+00	+4.2422606976180131e-02
6.4800000000000000e+02	+2.8421574528381113e+00	+4.2619437821354571e-02
6.4900000000000000e+02	+2.8385859613944864e+00	+4.2816875733609906e-02
6.5000000000000000e+02	+2.8350089925619839e+00	+4.3014921641306242e-02
6.5100000000000000e+02	+2.8314265464785437e+00	+4.3213576472764650e-02
6.5200000000000000e+02	+2.8278386232823145e+00	+4.3412841156266986e-02
6.5300000000000000e+02	+2.8242452231116566e+00	+4.3612716620056051e-02
6.5400000000000000e+02	+2.8206463461051365e+00	+4.3813203792335394e-02
6.5500000000000000e+02	+2.8170419924015331e+00	+4.4014303601269275e-02
6.5600000000000000e+02	+2.8134321621398328e+00	+4.4216016974982612e-02
6.5700000000000000e+02	+2.8098168554592329e+00	+4.4418344841560944e-02
6.5800000000000000e+02	+2.8061960724991390e+00	+4.4621288129050349e-02
6.5900000000000000e+02	+2.8025698133991659e+00	+4.4824847765457441e-02
6.6000000000000000e+02	+2.7989380782991389e+00	+4.5029024678749127e-02
6.6100000000000000e+02	+2.7953008673390922e+00	+4.5233819796852794e-02
6.6200000000000000e+02	+2.7916581806592684e+00	+4.5439234047656193e-02
6.6300000000000000e+02	+2.7880100184001213e+00	+4.5645268359007153e-02
6.6400000000000000e+02	+2.7843563807023122e+00	+4.5851923658713774e-02
6.6500000000000000e+02	+2.7806972677067128e+00	+4.6059200874544404e-02
