X	Hy	Ex	Ez
-2.33e-07	0.00585126	-0.0466509	0.00330965
-2.32e-07	0.00597892	-0.0476626	0.00334674
-2.31e-07	0.00610936	-0.0486962	0.00338388
-2.3e-07	0.00624264	-0.0497522	0.00342105
-2.29e-07	0.00637883	-0.0508311	0.00345823
-2.28e-07	0.00651799	-0.0519333	0.00349541
-2.27e-07	0.00666019	-0.0530595	0.00353256
-2.26e-07	0.00680548	-0.05421	0.00356968
-2.25e-07	0.00695395	-0.0553855	0.00360673
-2.24e-07	0.00710564	-0.0565865	0.00364371
-2.23e-07	0.00726065	-0.0578134	0.00368058
-2.22e-07	0.00741904	-0.059067	0.00371734
-2.21e-07	0.00758088	-0.0603477	0.00375394
-2.2e-07	0.00774624	-0.0616562	0.00379038
-2.19e-07	0.00791522	-0.0629931	0.00382662
-2.18e-07	0.00808787	-0.0643589	0.00386264
-2.17e-07	0.00826429	-0.0657543	0.00389842
-2.16e-07	0.00844456	-0.0671799	0.00393392
-2.15e-07	0.00862875	-0.0686364	0.00396911
-2.14e-07	0.00881696	-0.0701245	0.00400398
-2.13e-07	0.00900928	-0.0716449	0.00403847
-2.12e-07	0.00920578	-0.0731981	0.00407257
-2.11e-07	0.00940657	-0.0747851	0.00410624
-2.1e-07	0.00961174	-0.0764064	0.00413944
-2.09e-07	0.00982138	-0.0780628	0.00417214
-2.08e-07	0.0100356	-0.0797551	0.0042043
-2.07e-07	0.0102545	-0.0814841	0.00423589
-2.06e-07	0.0104781	-0.0832506	0.00426685
-2.05e-07	0.0107066	-0.0850553	0.00429715
-2.04e-07	0.0109401	-0.0868991	0.00432674
-2.03e-07	0.0111787	-0.0887829	0.00435559
-2.02e-07	0.0114225	-0.0907074	0.00438363
-2.01e-07	0.0116716	-0.0926737	0.00441084
-2e-07	0.0119262	-0.0946826	0.00443714
-1.99e-07	0.0121863	-0.0967349	0.0044625
-1.98e-07	0.012452	-0.0988318	0.00448686
-1.97e-07	0.0127236	-0.100974	0.00451016
-1.96e-07	0.013001	-0.103163	0.00453235
-1.95e-07	0.0132845	-0.105399	0.00455337
-1.94e-07	0.0135742	-0.107683	0.00457314
-1.93e-07	0.0138702	-0.110017	0.00459162
-1.92e-07	0.0141727	-0.112402	0.00460874
-1.91e-07	0.0144817	-0.114838	0.00462442
-1.9e-07	0.0147975	-0.117327	0.00463859
-1.89e-07	0.0151202	-0.11987	0.00465119
-1.88e-07	0.0154498	-0.122468	0.00466214
-1.87e-07	0.0157867	-0.125122	0.00467136
-1.86e-07	0.0161309	-0.127834	0.00467876
-1.85e-07	0.0164827	-0.130604	0.00468427
-1.84e-07	0.016842	-0.133435	0.00468781
-1.83e-07	0.0172093	-0.136327	0.00468927
-1.82e-07	0.0175845	-0.139281	0.00468857
-1.81e-07	0.0179679	-0.142299	0.00468562
-1.8e-07	0.0183596	-0.145383	0.00468031
-1.79e-07	0.0187599	-0.148534	0.00467255
-1.78e-07	0.0191689	-0.151752	0.00466223
-1.77e-07	0.0195868	-0.155041	0.00464924
-1.76e-07	0.0200138	-0.158401	0.00463347
-1.75e-07	0.0204502	-0.161833	0.00461481
-1.74e-07	0.020896	-0.16534	0.00459314
-1.73e-07	0.0213515	-0.168923	0.00456834
-1.72e-07	0.021817	-0.172583	0.00454027
-1.71e-07	0.0222926	-0.176323	0.00450882
-1.7e-07	0.0227786	-0.180143	0.00447384
-1.69e-07	0.0232751	-0.184046	0.0044352
-1.68e-07	0.0237825	-0.188034	0.00439275
-1.67e-07	0.024301	-0.192108	0.00434635
-1.66e-07	0.0248307	-0.196271	0.00429584
-1.65e-07	0.025372	-0.200523	0.00424107
-1.64e-07	0.025925	-0.204868	0.00418188
-1.63e-07	0.0264901	-0.209307	0.0041181
-1.62e-07	0.0270676	-0.213841	0.00404955
-1.61e-07	0.0276576	-0.218474	0.00397607
-1.6e-07	0.0282604	-0.223208	0.00389746
-1.59e-07	0.0288764	-0.228043	0.00381354
-1.58e-07	0.0295058	-0.232984	0.00372412
-1.57e-07	0.0301489	-0.238031	0.00362899
-1.56e-07	0.030806	-0.243188	0.00352795
-1.55e-07	0.0314775	-0.248456	0.00342079
-1.54e-07	0.0321635	-0.253839	0.00330729
-1.53e-07	0.0328645	-0.259337	0.00318722
-1.52e-07	0.0335808	-0.264955	0.00306035
-1.51e-07	0.0343127	-0.270695	0.00292645
-1.5e-07	0.0350605	-0.276559	0.00278526
-1.49e-07	0.0358246	-0.28255	0.00263653
-1.48e-07	0.0366054	-0.28867	0.00248
-1.47e-07	0.0374031	-0.294923	0.00231541
-1.46e-07	0.0382182	-0.301312	0.00214246
-1.45e-07	0.0390511	-0.307838	0.00196089
-1.44e-07	0.0399021	-0.314506	0.00177039
-1.43e-07	0.0407717	-0.321318	0.00157067
-1.42e-07	0.0416602	-0.328278	0.0013614
-1.41e-07	0.042568	-0.335388	0.00114228
-1.4e-07	0.0434957	-0.342653	0.000912963
-1.39e-07	0.0444435	-0.350074	0.000673119
-1.38e-07	0.0454119	-0.357656	0.000422395
-1.37e-07	0.0464015	-0.365403	0.000160432
-1.36e-07	0.0474126	-0.373317	-0.000113141
-1.35e-07	0.0484457	-0.381402	-0.000398706
-1.34e-07	0.0495013	-0.389662	-0.000696655
-1.33e-07	0.05058	-0.398101	-0.00100739
-1.32e-07	0.051682	-0.406723	-0.00133133
-1.31e-07	0.0528081	-0.415531	-0.0016689
-1.3e-07	0.0539588	-0.42453	-0.00202054
-1.29e-07	0.0551344	-0.433724	-0.00238671
-1.28e-07	0.0563357	-0.443116	-0.00276786
-1.27e-07	0.0575631	-0.452712	-0.00316449
-1.26e-07	0.0588173	-0.462516	-0.00357707
-1.25e-07	0.0600988	-0.472531	-0.00400612
-1.24e-07	0.0614081	-0.482764	-0.00445217
-1.23e-07	0.062746	-0.493218	-0.00491574
-1.22e-07	0.064113	-0.503898	-0.00539738
-1.21e-07	0.0655098	-0.514809	-0.00589767
-1.2e-07	0.066937	-0.525957	-0.00641719
-1.19e-07	0.0683953	-0.537345	-0.00695654
-1.18e-07	0.0698853	-0.54898	-0.00751634
-1.17e-07	0.0714077	-0.560867	-0.00809721
-1.16e-07	0.0729633	-0.573011	-0.00869982
-1.15e-07	0.0745528	-0.585418	-0.00932483
-1.14e-07	0.0761769	-0.598093	-0.00997294
-1.13e-07	0.0778363	-0.611043	-0.0106448
-1.12e-07	0.0795318	-0.624273	-0.0113413
-1.11e-07	0.0812643	-0.637789	-0.012063
-1.1e-07	0.0830345	-0.651597	-0.0128108
-1.09e-07	0.0848432	-0.665704	-0.0135854
-1.08e-07	0.0866913	-0.680117	-0.0143877
-1.07e-07	0.0885797	-0.694841	-0.0152185
-1.06e-07	0.0905091	-0.709884	-0.0160786
-1.05e-07	0.0924805	-0.725252	-0.016969
-1.04e-07	0.0944949	-0.740953	-0.0178905
