w	Re(eps)	Im(eps)
1.6000000000000001e+00	-7.6254455857686096e+01	+3.0861965855796512e+00
1.6100000000000001e+00	-7.5249650036096810e+01	+3.0291002995923226e+00
1.6200000000000001e+00	-7.4263359374657568e+01	+2.9734034645415526e+00
1.6299999999999999e+00	-7.3295131964876575e+01	+2.9190634752377389e+00
1.6399999999999999e+00	-7.2344529595782817e+01	+2.8660392732105597e+00
1.6499999999999999e+00	-7.1411127258941022e+01	+2.8142912816079422e+00
1.6599999999999999e+00	-7.0494512674200422e+01	+2.7637813432071288e+00
1.6699999999999999e+00	-6.9594285835191641e+01	+2.7144726613715155e+00
1.6799999999999999e+00	-6.8710058573637596e+01	+2.6663297437967439e+00
1.6899999999999999e+00	-6.7841454141593871e+01	+2.6193183488986991e+00
1.7000000000000000e+00	-6.6988106810780920e+01	+2.5734054347046866e+00
1.7100000000000000e+00	-6.6149661488213695e+01	+2.5285591101170959e+00
1.7200000000000000e+00	-6.5325773347375716e+01	+2.4847485884263780e+00
1.7300000000000000e+00	-6.4516107474223944e+01	+2.4419441429572615e+00
1.7400000000000000e+00	-6.3720338527346499e+01	+2.4001170647387209e+00
1.7500000000000000e+00	-6.2938150411631014e+01	+2.3592396220944165e+00
1.7600000000000000e+00	-6.2169235964833206e+01	+2.3192850220561811e+00
1.7700000000000000e+00	-6.1413296656466400e+01	+2.2802273735085423e+00
1.7800000000000000e+00	-6.0670042298461837e+01	+2.2420416519774289e+00
1.7900000000000000e+00	-5.9939190767076951e+01	+2.2047036659810244e+00
1.8000000000000000e+00	-5.9220467735554948e+01	+2.1681900248652273e+00
1.8100000000000001e+00	-5.8513606417063322e+01	+2.1324781080504724e+00
1.8200000000000001e+00	-5.7818347317462305e+01	+2.0975460356206050e+00
1.8300000000000001e+00	-5.7134437997476219e+01	+2.0633726401883208e+00
1.8400000000000001e+00	-5.6461632843861331e+01	+2.0299374399751615e+00
1.8500000000000001e+00	-5.5799692849183444e+01	+1.9972206130474204e+00
1.8600000000000001e+00	-5.5148385399837274e+01	+1.9652029726524254e+00
1.8700000000000001e+00	-5.4507484071956959e+01	+1.9338659436026182e+00
1.8799999999999999e+00	-5.3876768434883928e+01	+1.9031915396576229e+00
1.8899999999999999e+00	-5.3256023861874105e+01	+1.8731623418571171e+00
1.8999999999999999e+00	-5.2645041347741454e+01	+1.8437614777597870e+00
1.9099999999999999e+00	-5.2043617333148781e+01	+1.8149726015459606e+00
1.9199999999999999e+00	-5.1451553535270733e+01	+1.7867798749437176e+00
1.9299999999999999e+00	-5.0868656784565935e+01	+1.7591679489403402e+00
1.9399999999999999e+00	-5.0294738867408185e+01	+1.7321219462429189e+00
1.9500000000000000e+00	-4.9729616374337297e+01	+1.7056274444537702e+00
1.9600000000000000e+00	-4.9173110553701648e+01	+1.6796704599280625e+00
1.9700000000000000e+00	-4.8625047170474744e+01	+1.6542374322827009e+00
1.9800000000000000e+00	-4.8085256370037662e+01	+1.6293152095270496e+00
1.9900000000000000e+00	-4.7553572546729008e+01	+1.6048910337875719e+00
2.0000000000000000e+00	-4.7029834216972617e+01	+1.5809525275998215e+00
2.0099999999999998e+00	-4.6513883896801744e+01	+1.5574876807425568e+00
2.0200000000000000e+00	-4.6005567983606596e+01	+1.5344848375899784e+00
2.0299999999999998e+00	-4.5504736641939573e+01	+1.5119326849592658e+00
2.0400000000000000e+00	-4.5011243693219967e+01	+1.4898202404317011e+00
2.0499999999999998e+00	-4.4524946509186719e+01	+1.4681368411267246e+00
2.0600000000000001e+00	-4.4045705908954332e+01	+1.4468721329092544e+00
2.0699999999999998e+00	-4.3573386059533547e+01	+1.4260160600115523e+00
2.0800000000000001e+00	-4.3107854379684007e+01	+1.4055588550518154e+00
2.0899999999999999e+00	-4.2648981446972201e+01	+1.3854910294325107e+00
2.1000000000000001e+00	-4.2196640907912993e+01	+1.3658033641022764e+00
2.1099999999999999e+00	-4.1750709391078551e+01	+1.3464869006659881e+00
2.1200000000000001e+00	-4.1311066423063117e+01	+1.3275329328282872e+00
2.1299999999999999e+00	-4.0877594347196997e+01	+1.3089329981565767e+00
2.1400000000000001e+00	-4.0450178244907356e+01	+1.2906788701501239e+00
2.1499999999999999e+00	-4.0028705859627969e+01	+1.2727625506025355e+00
2.1600000000000001e+00	-3.9613067523163771e+01	+1.2551762622454563e+00
2.1699999999999999e+00	-3.9203156084420328e+01	+1.2379124416618932e+00
2.1800000000000002e+00	-3.8798866840411634e+01	+1.2209637324580989e+00
2.1899999999999999e+00	-3.8400097469463674e+01	+1.2043229786834599e+00
2.2000000000000002e+00	-3.8006747966533958e+01	+1.1879832184882888e+00
2.2100000000000000e+00	-3.7618720580571029e+01	+1.1719376780099013e+00
2.2200000000000002e+00	-3.7235919753840641e+01	+1.1561797654777701e+00
2.2300000000000000e+00	-3.6858252063148377e+01	+1.1407030655289643e+00
2.2400000000000002e+00	-3.6485626162891407e+01	+1.1255013337254793e+00
2.2500000000000000e+00	-3.6117952729874361e+01	+1.1105684912654199e+00
2.2599999999999998e+00	-3.5755144409827516e+01	+1.0958986198803662e+00
2.2700000000000000e+00	-3.5397115765567250e+01	+1.0814859569115802e+00
2.2799999999999998e+00	-3.5043783226741510e+01	+1.0673248905580301e+00
2.2900000000000000e+00	-3.4695065041105295e+01	+1.0534099552895240e+00
2.2999999999999998e+00	-3.4350881227272879e+01	+1.0397358274185220e+00
2.3100000000000001e+00	-3.4011153528896081e+01	+1.0262973208244779e+00
2.3199999999999998e+00	-3.3675805370219599e+01	+1.0130893828248340e+00
2.3300000000000001e+00	-3.3344761812966134e+01	+1.0001070901870235e+00
2.3399999999999999e+00	-3.3017949514506313e+01	+9.8734564527609536e-01
2.3500000000000001e+00	-3.2695296687269618e+01	+9.7480037233279215e-01
2.3599999999999999e+00	-3.2376733059354557e+01	+9.6246671387713389e-01
2.3700000000000001e+00	-3.2062189836297698e+01	+9.5034022723276257e-01
2.3799999999999999e+00	-3.1751599663962857e+01	+9.3841658116751536e-01
2.3900000000000001e+00	-3.1444896592512997e+01	+9.2669155264586078e-01
2.3999999999999999e+00	-3.1142016041428917e+01	+9.1516102368903207e-01
2.4100000000000001e+00	-3.0842894765540223e+01	+9.0382097833885677e-01
2.4199999999999999e+00	-3.0547470822035066e+01	+8.9266749972144344e-01
2.4300000000000002e+00	-3.0255683538416733e+01	+8.8169676720704671e-01
2.4399999999999999e+00	-2.9967473481376082e+01	+8.7090505366258431e-01
2.4500000000000002e+00	-2.9682782426550013e+01	+8.6028872279341650e-01
2.4600000000000000e+00	-2.9401553329137307e+01	+8.4984422657113967e-01
2.4700000000000002e+00	-2.9123730295344210e+01	+8.3956810274427651e-01
2.4800000000000000e+00	-2.8849258554632996e+01	+8.2945697242887162e-01
2.4900000000000002e+00	-2.8578084432747914e+01	+8.1950753777611385e-01
2.5000000000000000e+00	-2.8310155325493675e+01	+8.0971657971423050e-01
2.5099999999999998e+00	-2.8045419673242627e+01	+8.0008095576200289e-01
2.5200000000000000e+00	-2.7783826936147470e+01	+7.9059759791135631e-01
2.5299999999999998e+00	-2.7525327570037469e+01	+7.8126351057657983e-01
2.5400000000000000e+00	-2.7269873002976546e+01	+7.7207576860782978e-01
2.5499999999999998e+00	-2.7017415612462614e+01	+7.6303151536665315e-01
2.5600000000000001e+00	-2.6767908703248242e+01	+7.5412796086136669e-01
2.5699999999999998e+00	-2.6521306485763336e+01	+7.4536237994020371e-01
2.5800000000000001e+00	-2.6277564055121196e+01	+7.3673211054022103e-01
2.5899999999999999e+00	-2.6036637370690098e+01	+7.2823455199004161e-01
2.6000000000000001e+00	-2.5798483236212935e+01	+7.1986716336457546e-01
2.6099999999999999e+00	-2.5563059280458333e+01	+7.1162746188993620e-01
2.6200000000000001e+00	-2.5330323938386886e+01	+7.0351302139683569e-01
2.6299999999999999e+00	-2.5100236432817081e+01	+6.9552147082080862e-01
2.6400000000000001e+00	-2.4872756756575676e+01	+6.8765049274767420e-01
2.6499999999999999e+00	-2.4647845655118061e+01	+6.7989782200270932e-01
2.6600000000000001e+00	-2.4425464609604436e+01	+6.7226124428205691e-01
2.6699999999999999e+00	-2.4205575820418282e+01	+6.6473859482495856e-01
2.6800000000000002e+00	-2.3988142191113869e+01	+6.5732775712544078e-01
2.6899999999999999e+00	-2.3773127312780154e+01	+6.5002666168214218e-01
2.7000000000000002e+00	-2.3560495448808766e+01	+6.4283328478502122e-01
2.7100000000000000e+00	-2.3350211520054177e+01	+6.3574564733771677e-01
2.7200000000000002e+00	-2.3142241090374544e+01	+6.2876181371439388e-01
2.7300000000000000e+00	-2.2936550352542142e+01	+6.2187989064994087e-01
2.7400000000000002e+00	-2.2733106114512591e+01	+6.1509802616242504e-01
2.7500000000000000e+00	-2.2531875786042548e+01	+6.0841440850676054e-01
2.7599999999999998e+00	-2.2332827365645688e+01	+6.0182726515857032e-01
2.7700000000000000e+00	-2.2135929427877329e+01	+5.9533486182726825e-01
2.7799999999999998e+00	-2.1941151110938232e+01	+5.8893550149741991e-01
2.7900000000000000e+00	-2.1748462104588459e+01	+5.8262752349747138e-01
2.7999999999999998e+00	-2.1557832638362452e+01	+5.7640930259497292e-01
2.8100000000000001e+00	-2.1369233470076818e+01	+5.7027924811745134e-01
2.8199999999999998e+00	-2.1182635874622505e+01	+5.6423580309811494e-01
2.8300000000000001e+00	-2.0998011633033347e+01	+5.5827744344560759e-01
2.8399999999999999e+00	-2.0815333021823285e+01	+5.5240267713705038e-01
2.8500000000000001e+00	-2.0634572802584664e+01	+5.4661004343363961e-01
2.8599999999999999e+00	-2.0455704211840366e+01	+5.4089811211809469e-01
2.8700000000000001e+00	-2.0278700951142739e+01	+5.3526548275327357e-01
2.8799999999999999e+00	-2.0103537177412463e+01	+5.2971078396129612e-01
2.8900000000000001e+00	-1.9930187493510722e+01	+5.2423267272253982e-01
2.8999999999999999e+00	-1.9758626939038304e+01	+5.1882983369389546e-01
2.9100000000000001e+00	-1.9588830981355379e+01	+5.1350097854568644e-01
2.9199999999999999e+00	-1.9420775506815932e+01	+5.0824484531668179e-01
2.9300000000000002e+00	-1.9254436812211036e+01	+5.0306019778664735e-01
2.9399999999999999e+00	-1.9089791596415225e+01	+4.9794582486590128e-01
2.9500000000000002e+00	-1.8926816952230574e+01	+4.9290054000135736e-01
2.9600000000000000e+00	-1.8765490358423104e+01	+4.8792318059855766e-01
2.9700000000000002e+00	-1.8605789671946326e+01	+4.8301260745920876e-01
2.9800000000000000e+00	-1.8447693120346958e+01	+4.7816770423376009e-01
2.9900000000000002e+00	-1.8291179294347952e+01	+4.7338737688856830e-01
3.0000000000000000e+00	-1.8136227140604088e+01	+4.6867055318721701e-01
3.0099999999999998e+00	-1.7982815954625572e+01	+4.6401618218556501e-01
3.0200000000000000e+00	-1.7830925373865227e+01	+4.5942323374012034e-01
3.0299999999999998e+00	-1.7680535370964925e+01	+4.5489069802934301e-01
3.0400000000000000e+00	-1.7531626247157142e+01	+4.5041758508749563e-01
3.0499999999999998e+00	-1.7384178625817476e+01	+4.4600292435067340e-01
3.0600000000000001e+00	-1.7238173446164350e+01	+4.4164576421465812e-01
3.0699999999999998e+00	-1.7093591957101900e+01	+4.3734517160424746e-01
3.0800000000000001e+00	-1.6950415711202460e+01	+4.3310023155372879e-01
3.0899999999999999e+00	-1.6808626558825026e+01	+4.2891004679817335e-01
3.1000000000000001e+00	-1.6668206642366133e+01	+4.2477373737523622e-01
3.1099999999999999e+00	-1.6529138390639805e+01	+4.2069044023716134e-01
3.1200000000000001e+00	-1.6391404513383296e+01	+4.1665930887269759e-01
3.1299999999999999e+00	-1.6254987995885344e+01	+4.1267951293864158e-01
3.1400000000000001e+00	-1.6119872093733882e+01	+4.0875023790073295e-01
3.1499999999999999e+00	-1.5986040327680165e+01	+4.0487068468363530e-01
3.1600000000000001e+00	-1.5853476478616386e+01	+4.0104006932974562e-01
3.1699999999999999e+00	-1.5722164582663876e+01	+3.9725762266658249e-01
3.1800000000000002e+00	-1.5592088926369179e+01	+3.9352258998250994e-01
3.1899999999999999e+00	-1.5463234042005279e+01	+3.8983423071056511e-01
3.2000000000000002e+00	-1.5335584702975318e+01	+3.8619181812016035e-01
3.2100000000000000e+00	-1.5209125919316328e+01	+3.8259463901644009e-01
3.2200000000000002e+00	-1.5083842933300438e+01	+3.7904199344708106e-01
3.2300000000000000e+00	-1.4959721215131179e+01	+3.7553319441632727e-01
3.2400000000000002e+00	-1.4836746458732549e+01	+3.7206756760606041e-01
3.2500000000000000e+00	-1.4714904577628538e+01	+3.6864445110371197e-01
3.2599999999999998e+00	-1.4594181700910912e+01	+3.6526319513682731e-01
3.2700000000000000e+00	-1.4474564169293100e+01	+3.6192316181410111e-01
3.2799999999999998e+00	-1.4356038531248110e+01	+3.5862372487270699e-01
3.2900000000000000e+00	-1.4238591539228384e+01	+3.5536426943174720e-01
3.2999999999999998e+00	-1.4122210145965663e+01	+3.5214419175166040e-01
3.3100000000000001e+00	-1.4006881500848920e+01	+3.4896289899942279e-01
3.3199999999999998e+00	-1.3892592946378446e+01	+3.4581980901938691e-01
3.3300000000000001e+00	-1.3779332014694354e+01	+3.4271435010960677e-01
3.3399999999999999e+00	-1.3667086424177583e+01	+3.3964596080350179e-01
3.3500000000000001e+00	-1.3555844076121854e+01	+3.3661408965671674e-01
3.3599999999999999e+00	-1.3445593051474699e+01	+3.3361819503903839e-01
3.3700000000000001e+00	-1.3336321607646099e+01	+3.3065774493123479e-01
3.3799999999999999e+00	-1.3228018175383013e+01	+3.2773221672668668e-01
3.3900000000000001e+00	-1.3120671355708321e+01	+3.2484109703768449e-01
3.3999999999999999e+00	-1.3014269916922640e+01	+3.2198388150626639e-01
3.4100000000000001e+00	-1.2908802791667519e+01	+3.1916007461947998e-01
3.4199999999999999e+00	-1.2804259074048623e+01	+3.1636918952894999e-01
3.4300000000000002e+00	-1.2700628016817507e+01	+3.1361074787464044e-01
3.4399999999999999e+00	-1.2597899028610581e+01	+3.1088427961270165e-01
3.4500000000000002e+00	-1.2496061671243968e+01	+3.0818932284729489e-01
3.4600000000000000e+00	-1.2395105657062977e+01	+3.0552542366629304e-01
3.4700000000000002e+00	-1.2295020846344954e+01	+3.0289213598075765e-01
3.4800000000000000e+00	-1.2195797244754171e+01	+3.0028902136809071e-01
3.4900000000000002e+00	-1.2097425000847728e+01	+2.9771564891877289e-01
3.5000000000000000e+00	-1.1999894403631224e+01	+2.9517159508659230e-01
3.5099999999999998e+00	-1.1903195880162979e+01	+2.9265644354227482e-01
3.5200000000000000e+00	-1.1807319993205915e+01	+2.9016978503043084e-01
3.5299999999999998e+00	-1.1712257438925807e+01	+2.8771121722973381e-01
3.5400000000000000e+00	-1.1617999044634981e+01	+2.8528034461624646e-01
3.5499999999999998e+00	-1.1524535766580410e+01	+2.8287677832981922e-01
3.5600000000000001e+00	-1.1431858687775193e+01	+2.8050013604347923e-01
3.5699999999999998e+00	-1.1339959015872477e+01	+2.7815004183573844e-01
3.5800000000000001e+00	-1.1248828081080834e+01	+2.7582612606574397e-01
3.5899999999999999e+00	-1.1158457334120239e+01	+2.7352802525120368e-01
3.6000000000000001e+00	-1.1068838344217660e+01	+2.7125538194901422e-01
3.6099999999999999e+00	-1.0979962797141461e+01	+2.6900784463852734e-01
3.6200000000000001e+00	-1.0891822493273729e+01	+2.6678506760738613e-01
3.6299999999999999e+00	-1.0804409345719694e+01	+2.6458671083987095e-01
3.6400000000000001e+00	-1.0717715378453409e+01	+2.6241243990769009e-01
3.6499999999999999e+00	-1.0631732724498953e+01	+2.6026192586315777e-01
3.6600000000000001e+00	-1.0546453624146311e+01	+2.5813484513469820e-01
3.6699999999999999e+00	-1.0461870423201242e+01	+2.5603087942462205e-01
3.6800000000000002e+00	-1.0377975571268342e+01	+2.5394971560911644e-01
3.6899999999999999e+00	-1.0294761620066632e+01	+2.5189104564039810e-01
3.7000000000000002e+00	-1.0212221221776931e+01	+2.4985456645097456e-01
3.7100000000000000e+00	-1.0130347127420345e+01	+2.4783997985996278e-01
3.7200000000000002e+00	-1.0049132185267231e+01	+2.4584699248141800e-01
3.7300000000000000e+00	-9.9685693392759251e+00	+2.4387531563462128e-01
3.7400000000000002e+00	-9.8886516275606411e+00	+2.4192466525628012e-01
3.7500000000000000e+00	-9.8093721808879355e+00	+2.3999476181459747e-01
3.7599999999999998e+00	-9.7307242212010738e+00	+2.3808533022516234e-01
3.7700000000000000e+00	-9.6527010601717471e+00	+2.3619609976861997e-01
3.7799999999999998e+00	-9.5752960977785779e+00	+2.3432680401007988e-01
3.7900000000000000e+00	-9.4985028209118028e+00	+2.3247718072021933e-01
3.7999999999999998e+00	-9.4223148020036067e+00	+2.3064697179804239e-01
3.8100000000000001e+00	-9.3467256976835937e+00	+2.2883592319525711e-01
3.8199999999999998e+00	-9.2717292474588255e+00	+2.2704378484223042e-01
3.8300000000000001e+00	-9.1973192724179409e+00	+2.2527031057548577e-01
3.8399999999999999e+00	-9.1234896739588613e+00	+2.2351525806670677e-01
3.8500000000000001e+00	-9.0502344325395683e+00	+2.2177838875321090e-01
3.8599999999999999e+00	-8.9775476064515054e+00	+2.2005946776986124e-01
3.8700000000000001e+00	-8.9054233306151129e+00	+2.1835826388238011e-01
3.8799999999999999e+00	-8.8338558153970563e+00	+2.1667454942203465e-01
3.8900000000000001e+00	-8.7628393454486915e+00	+2.1500810022166128e-01
3.8999999999999999e+00	-8.6923682785653487e+00	+2.1335869555299866e-01
3.9100000000000001e+00	-8.6224370445659773e+00	+2.1172611806529895e-01
3.9199999999999999e+00	-8.5530401441927868e+00	+2.1011015372518871e-01
3.9300000000000002e+00	-8.4841721480304297e+00	+2.0851059175774994e-01
3.9399999999999999e+00	-8.4158276954443547e+00	+2.0692722458879415e-01
3.9500000000000002e+00	-8.3480014935379412e+00	+2.0535984778830232e-01
3.9600000000000000e+00	-8.2806883161280282e+00	+2.0380826001500410e-01
3.9700000000000002e+00	-8.2138830027384788e+00	+2.0227226296207051e-01
3.9800000000000000e+00	-8.1475804576114097e+00	+2.0075166130389521e-01
3.9900000000000002e+00	-8.0817756487357322e+00	+1.9924626264393963e-01
4.0000000000000000e+00	-8.0164636068926640e+00	+1.9775587746361853e-01
4.0099999999999998e+00	-7.9516394247178770e+00	+1.9628031907220203e-01
4.0199999999999996e+00	-7.8872982557799372e+00	+1.9481940355771210e-01
4.0300000000000002e+00	-7.8234353136747252e+00	+1.9337294973879077e-01
4.0400000000000000e+00	-7.7600458711355191e+00	+1.9194077911751897e-01
4.0499999999999998e+00	-7.6971252591584349e+00	+1.9052271583316477e-01
4.0599999999999996e+00	-7.6346688661429063e+00	+1.8911858661684003e-01
4.0700000000000003e+00	-7.5726721370469310e+00	+1.8772822074704648e-01
4.0800000000000001e+00	-7.5111305725567856e+00	+1.8635145000609027e-01
4.0899999999999999e+00	-7.4500397282709034e+00	+1.8498810863734746e-01
4.0999999999999996e+00	-7.3893952138976964e+00	+1.8363803330336020e-01
4.1100000000000003e+00	-7.3291926924669859e+00	+1.8230106304474725e-01
4.1200000000000001e+00	-7.2694278795548115e+00	+1.8097703923990910e-01
4.1299999999999999e+00	-7.2100965425213737e+00	+1.7966580556551243e-01
4.1399999999999997e+00	-7.1511944997618109e+00	+1.7836720795773550e-01
4.1500000000000004e+00	-7.0927176199696191e+00	+1.7708109457425875e-01
4.1600000000000001e+00	-7.0346618214124206e+00	+1.7580731575698416e-01
4.1699999999999999e+00	-6.9770230712198860e+00	+1.7454572399546853e-01
4.1799999999999997e+00	-6.9197973846835481e+00	+1.7329617389105356e-01
4.1900000000000004e+00	-6.8629808245682984e+00	+1.7205852212168021e-01
4.2000000000000002e+00	-6.8065695004353319e+00	+1.7083262740737037e-01
4.2100000000000000e+00	-6.7505595679763530e+00	+1.6961835047636364e-01
4.2199999999999998e+00	-6.6949472283587639e+00	+1.6841555403189346e-01
4.2300000000000004e+00	-6.6397287275817138e+00	+1.6722410271959062e-01
4.2400000000000002e+00	-6.5849003558427306e+00	+1.6604386309549968e-01
4.2500000000000000e+00	-6.5304584469147873e+00	+1.6487470359469611e-01
4.2599999999999998e+00	-6.4763993775335660e+00	+1.6371649450049117e-01
4.2699999999999996e+00	-6.4227195667947701e+00	+1.6256910791421192e-01
4.2800000000000002e+00	-6.3694154755612651e+00	+1.6143241772554526e-01
4.2900000000000000e+00	-6.3164836058798741e+00	+1.6030629958343262e-01
4.2999999999999998e+00	-6.2639205004076608e+00	+1.5919063086750559e-01
4.3099999999999996e+00	-6.2117227418475132e+00	+1.5808529066004995e-01
4.3200000000000003e+00	-6.1598869523928421e+00	+1.5699015971848734e-01
4.3300000000000001e+00	-6.1084097931812664e+00	+1.5590512044836460e-01
4.3399999999999999e+00	-6.0572879637570747e+00	+1.5483005687683901e-01
4.3499999999999996e+00	-6.0065182015423311e+00	+1.5376485462665032e-01
4.3600000000000003e+00	-5.9560972813164597e+00	+1.5270940089056939e-01
4.3700000000000001e+00	-5.9060220147041473e+00	+1.5166358440631253e-01
4.3799999999999999e+00	-5.8562892496714198e+00	+1.5062729543191367e-01
4.3899999999999997e+00	-5.8068958700297326e+00	+1.4960042572154370e-01
4.4000000000000004e+00	-5.7578387949479559e+00	+1.4858286850176869e-01
4.4100000000000001e+00	-5.7091149784720709e+00	+1.4757451844823721e-01
4.4199999999999999e+00	-5.6607214090524742e+00	+1.4657527166278914e-01
4.4299999999999997e+00	-5.6126551090787373e+00	+1.4558502565097606e-01
4.4400000000000004e+00	-5.5649131344216869e+00	+1.4460367929998658e-01
4.4500000000000002e+00	-5.5174925739826755e+00	+1.4363113285696655e-01
4.4600000000000000e+00	-5.4703905492499167e+00	+1.4266728790772795e-01
4.4699999999999998e+00	-5.4236042138617648e+00	+1.4171204735583739e-01
4.4800000000000004e+00	-5.3771307531767825e+00	+1.4076531540207729e-01
4.4900000000000002e+00	-5.3309673838505365e+00	+1.3982699752427194e-01
4.5000000000000000e+00	-5.2851113534189338e+00	+1.3889700045747155e-01
4.5099999999999998e+00	-5.2395599398880304e+00	+1.3797523217448684e-01
4.5199999999999996e+00	-5.1943104513301819e+00	+1.3706160186676691e-01
4.5300000000000002e+00	-5.1493602254864239e+00	+1.3615601992561488e-01
4.5400000000000000e+00	-5.1047066293749630e+00	+1.3525839792373257e-01
4.5499999999999998e+00	-5.0603470589057000e+00	+1.3436864859708975e-01
4.5599999999999996e+00	-5.0162789385006512e+00	+1.3348668582711035e-01
4.5700000000000003e+00	-4.9724997207201636e+00	+1.3261242462316961e-01
4.5800000000000001e+00	-4.9290068858948590e+00	+1.3174578110539661e-01
4.5899999999999999e+00	-4.8857979417631618e+00	+1.3088667248777541e-01
4.5999999999999996e+00	-4.8428704231143449e+00	+1.3003501706153955e-01
4.6100000000000003e+00	-4.8002218914369745e+00	+1.2919073417885388e-01
4.6200000000000001e+00	-4.7578499345727003e+00	+1.2835374423677870e-01
4.6299999999999999e+00	-4.7157521663752302e+00	+1.2752396866150953e-01
4.6399999999999997e+00	-4.6739262263744905e+00	+1.2670132989288882e-01
4.6500000000000004e+00	-4.6323697794457850e+00	+1.2588575136918276e-01
4.6600000000000001e+00	-4.5910805154839593e+00	+1.2507715751211923e-01
