Modal Results

k0 	3.951688872e+006
R 	-2.995442775e+001
S 	-4.176125550e+001
Number of roots 	8

Root	Re(z)	Im(z)	Re(Neff)	Im(Neff)	Absorp(1/cm)	Bound
1	-1.446976467e-001	-1.122840522e-001	+3.418781719e+001	+5.901118479e-001	+4.663876846e+004	+0
2	+1.956581173e+000	+3.120954238e+000	+5.113255470e+000	+1.011709297e-001	+7.995920743e+003	+0
3	+3.175339864e+000	+3.110712600e+000	+2.306533448e+001	-6.434336607e-001	-5.085299274e+004	+0
4	+1.823283599e+000	-3.196514287e-002	+4.463883771e+000	+3.680500833e-002	+2.908838838e+003	+1
5	-3.967597718e+000	-1.647312583e+000	+3.413533335e+001	+1.590589498e+003	+1.257102964e+008	+0
6	-3.275484724e+000	-1.625891641e+000	+3.413533724e+001	+7.955888441e+002	+6.287839164e+007	+0
7	-3.966855820e+000	+1.451348406e+000	+3.413533333e+001	-1.589409197e+003	-1.256170128e+008	+0
8	-3.274003499e+000	+1.429872811e+000	+3.413533709e+001	-7.944085437e+002	-6.278510805e+007	+0
